player_name,team_name,shot_distance,shot_attempted_flag,shot_made_flag,accuracy,shot_type,league_average
Brandon Ingram,New Orleans Pelicans,0,26,24,0.92,2s,0.76
Naji Marshall,New Orleans Pelicans,0,26,20,0.77,2s,0.76
Jose Alvarado,New Orleans Pelicans,0,8,7,0.88,2s,0.76
Willy Hernangomez,New Orleans Pelicans,0,42,26,0.62,2s,0.76
Dyson Daniels,New Orleans Pelicans,0,15,13,0.87,2s,0.76
Jaxson Hayes,New Orleans Pelicans,0,30,25,0.83,2s,0.76
Herbert Jones,New Orleans Pelicans,0,46,35,0.76,2s,0.76
CJ McCollum,New Orleans Pelicans,0,18,15,0.83,2s,0.76
Devonte' Graham,New Orleans Pelicans,0,1,0,0,2s,0.76
Garrett Temple,New Orleans Pelicans,0,3,0,0,2s,0.76
Kira Lewis Jr.,New Orleans Pelicans,0,3,3,1,2s,0.76
Josh Richardson,New Orleans Pelicans,0,2,2,1,2s,0.76
Nikola Vucevic,Chicago Bulls,0,112,79,0.71,2s,0.76
DeMar DeRozan,Chicago Bulls,0,68,55,0.81,2s,0.76
Andre Drummond,Chicago Bulls,0,116,78,0.67,2s,0.76
Javonte Green,Chicago Bulls,0,24,20,0.83,2s,0.76
Zach LaVine,Chicago Bulls,0,122,98,0.8,2s,0.76
Derrick Jones Jr.,Chicago Bulls,0,57,40,0.7,2s,0.76
Goran Dragic,Chicago Bulls,0,16,13,0.81,2s,0.76
Patrick Williams,Chicago Bulls,0,75,55,0.73,2s,0.76
Ayo Dosunmu,Chicago Bulls,0,62,51,0.82,2s,0.76
Alex Caruso,Chicago Bulls,0,36,27,0.75,2s,0.76
Coby White,Chicago Bulls,0,24,14,0.58,2s,0.76
Dalen Terry,Chicago Bulls,0,14,10,0.71,2s,0.76
Tony Bradley,Chicago Bulls,0,3,2,0.67,2s,0.76
Malcolm Hill,Chicago Bulls,0,1,1,1,2s,0.76
Patrick Beverley,Chicago Bulls,0,4,4,1,2s,0.76
Terry Taylor,Chicago Bulls,0,2,2,1,2s,0.76
JaVale McGee,Dallas Mavericks,0,40,33,0.83,2s,0.76
Tim Hardaway Jr.,Dallas Mavericks,0,21,13,0.62,2s,0.76
Maxi Kleber,Dallas Mavericks,0,16,12,0.75,2s,0.76
Spencer Dinwiddie,Dallas Mavericks,0,32,27,0.84,2s,0.76
Dorian Finney-Smith,Dallas Mavericks,0,30,23,0.77,2s,0.76
Christian Wood,Dallas Mavericks,0,88,69,0.78,2s,0.76
Luka Doncic,Dallas Mavericks,0,57,52,0.91,2s,0.76
Dwight Powell,Dallas Mavericks,0,83,77,0.93,2s,0.76
Josh Green,Dallas Mavericks,0,32,27,0.84,2s,0.76
Frank Ntilikina,Dallas Mavericks,0,7,4,0.57,2s,0.76
Reggie Bullock,Dallas Mavericks,0,6,5,0.83,2s,0.76
Kemba Walker,Dallas Mavericks,0,3,3,1,2s,0.76
Jaden Hardy,Dallas Mavericks,0,23,18,0.78,2s,0.76
Theo Pinson,Dallas Mavericks,0,3,1,0.33,2s,0.76
Davis Bertans,Dallas Mavericks,0,6,6,1,2s,0.76
McKinley Wright IV,Dallas Mavericks,0,5,3,0.6,2s,0.76
A.J. Lawson,Dallas Mavericks,0,5,5,1,2s,0.76
Kyrie Irving,Dallas Mavericks,0,25,20,0.8,2s,0.76
Justin Holiday,Dallas Mavericks,0,3,3,1,2s,0.76
Aaron Gordon,Denver Nuggets,0,114,90,0.79,2s,0.76
Michael Porter Jr.,Denver Nuggets,0,45,34,0.76,2s,0.76
Nikola Jokic,Denver Nuggets,0,85,63,0.74,2s,0.76
Jeff Green,Denver Nuggets,0,33,23,0.7,2s,0.76
DeAndre Jordan,Denver Nuggets,0,42,35,0.83,2s,0.76
Bruce Brown,Denver Nuggets,0,47,40,0.85,2s,0.76
Kentavious Caldwell-Pope,Denver Nuggets,0,16,10,0.63,2s,0.76
Zeke Nnaji,Denver Nuggets,0,36,28,0.78,2s,0.76
Jamal Murray,Denver Nuggets,0,22,16,0.73,2s,0.76
Bones Hyland,Denver Nuggets,0,11,8,0.73,2s,0.76
Christian Braun,Denver Nuggets,0,18,14,0.78,2s,0.76
Davon Reed,Denver Nuggets,0,4,2,0.5,2s,0.76
Vlatko Cancar,Denver Nuggets,0,14,12,0.86,2s,0.76
