,xlocs,ylocs,shot_zone
382,-132.3529414,65.94827586,zone8
383,-132.3529414,49.74137931,zone8
384,-132.3529414,33.53448276,zone8
385,-132.3529414,17.32758621,zone8
386,-132.3529414,1.120689655,zone8
387,-132.3529414,-15.0862069,zone8
388,-132.3529414,-31.29310345,zone8
389,-132.3529414,-47.5,zone8
390,-122.5490199,422.5,zone19
391,-122.5490199,406.2931034,zone19
392,-122.5490199,390.0862069,zone19
393,-122.5490199,373.8793103,zone19
394,-122.5490199,357.6724138,zone19
395,-122.5490199,341.4655172,zone19
396,-122.5490199,325.2586207,zone19
397,-122.5490199,309.0517241,zone19
398,-122.5490199,292.8448276,zone18
399,-122.5490199,276.637931,zone18
400,-122.5490199,260.4310345,zone18
401,-122.5490199,244.2241379,zone17
402,-122.5490199,228.0172414,zone17
403,-122.5490199,211.8103448,zone13
404,-122.5490199,195.6034483,zone6
405,-122.5490199,179.3965517,zone6
406,-122.5490199,163.1896552,zone6
407,-122.5490199,146.9827586,zone6
408,-122.5490199,130.7758621,zone6
409,-122.5490199,114.5689655,zone8
410,-122.5490199,98.36206897,zone8
411,-122.5490199,82.15517241,zone8
412,-122.5490199,65.94827586,zone8
413,-122.5490199,49.74137931,zone8
414,-122.5490199,33.53448276,zone8
415,-122.5490199,17.32758621,zone8
416,-122.5490199,1.120689655,zone8
417,-122.5490199,-15.0862069,zone8
418,-122.5490199,-31.29310345,zone8
419,-122.5490199,-47.5,zone8
420,-112.7450983,422.5,zone19
421,-112.7450983,406.2931034,zone19
422,-112.7450983,390.0862069,zone19
423,-112.7450983,373.8793103,zone19
424,-112.7450983,357.6724138,zone19
425,-112.7450983,341.4655172,zone19
426,-112.7450983,325.2586207,zone19
427,-112.7450983,309.0517241,zone19
428,-112.7450983,292.8448276,zone18
429,-112.7450983,276.637931,zone18
430,-112.7450983,260.4310345,zone18
431,-112.7450983,244.2241379,zone17
432,-112.7450983,228.0172414,zone17
433,-112.7450983,211.8103448,zone17
434,-112.7450983,195.6034483,zone9
435,-112.7450983,179.3965517,zone6
436,-112.7450983,163.1896552,zone6
437,-112.7450983,146.9827586,zone6
438,-112.7450983,130.7758621,zone6
439,-112.7450983,114.5689655,zone8
440,-112.7450983,98.36206897,zone8
441,-112.7450983,82.15517241,zone8
442,-112.7450983,65.94827586,zone8
443,-112.7450983,49.74137931,zone8
444,-112.7450983,33.53448276,zone8
445,-112.7450983,17.32758621,zone8
446,-112.7450983,1.120689655,zone8
447,-112.7450983,-15.0862069,zone8
448,-112.7450983,-31.29310345,zone8
449,-112.7450983,-47.5,zone8
450,-102.9411767,422.5,zone19
451,-102.9411767,406.2931034,zone19
452,-102.9411767,390.0862069,zone19
453,-102.9411767,373.8793103,zone19
454,-102.9411767,357.6724138,zone19
455,-102.9411767,341.4655172,zone19
456,-102.9411767,325.2586207,zone19
457,-102.9411767,309.0517241,zone19
458,-102.9411767,292.8448276,zone18
459,-102.9411767,276.637931,zone18
460,-102.9411767,260.4310345,zone18
461,-102.9411767,244.2241379,zone17
462,-102.9411767,228.0172414,zone17
463,-102.9411767,211.8103448,zone9
464,-102.9411767,195.6034483,zone9
465,-102.9411767,179.3965517,zone9
466,-102.9411767,163.1896552,zone6
467,-102.9411767,146.9827586,zone6
468,-102.9411767,130.7758621,zone8
469,-102.9411767,114.5689655,zone8
470,-102.9411767,98.36206897,zone8
471,-102.9411767,82.15517241,zone8
472,-102.9411767,65.94827586,zone8
473,-102.9411767,49.74137931,zone8
474,-102.9411767,33.53448276,zone8
475,-102.9411767,17.32758621,zone8
476,-102.9411767,1.120689655,zone8
477,-102.9411767,-15.0862069,zone8
478,-102.9411767,-31.29310345,zone8
479,-102.9411767,-47.5,zone8
480,-93.13725509,422.5,zone19
481,-93.13725509,406.2931034,zone19
482,-93.13725509,390.0862069,zone19
483,-93.13725509,373.8793103,zone19
484,-93.13725509,357.6724138,zone19
485,-93.13725509,341.4655172,zone19
486,-93.13725509,325.2586207,zone19
487,-93.13725509,309.0517241,zone19
488,-93.13725509,292.8448276,zone18
489,-93.13725509,276.637931,zone18
490,-93.13725509,260.4310345,zone17
491,-93.13725509,244.2241379,zone17
492,-93.13725509,228.0172414,zone17
493,-93.13725509,211.8103448,zone9
494,-93.13725509,195.6034483,zone9
495,-93.13725509,179.3965517,zone9
496,-93.13725509,163.1896552,zone9
497,-93.13725509,146.9827586,zone6
498,-93.13725509,130.7758621,zone8
499,-93.13725509,114.5689655,zone8
500,-93.13725509,98.36206897,zone8
501,-93.13725509,82.15517241,zone8
502,-93.13725509,65.94827586,zone8
503,-93.13725509,49.74137931,zone8
504,-93.13725509,33.53448276,zone12
505,-93.13725509,17.32758621,zone12
506,-93.13725509,1.120689655,zone12
507,-93.13725509,-15.0862069,zone12
508,-93.13725509,-31.29310345,zone12
509,-93.13725509,-47.5,zone8
510,-83.3333335,422.5,zone19
511,-83.3333335,406.2931034,zone19
512,-83.3333335,390.0862069,zone19
513,-83.3333335,373.8793103,zone19
514,-83.3333335,357.6724138,zone19
515,-83.3333335,341.4655172,zone19
516,-83.3333335,325.2586207,zone19
517,-83.3333335,309.0517241,zone19
518,-83.3333335,292.8448276,zone18
519,-83.3333335,276.637931,zone18
520,-83.3333335,260.4310345,zone17
521,-83.3333335,244.2241379,zone17
522,-83.3333335,228.0172414,zone17
523,-83.3333335,211.8103448,zone9
524,-83.3333335,195.6034483,zone9
525,-83.3333335,179.3965517,zone9
526,-83.3333335,163.1896552,zone9
527,-83.3333335,146.9827586,zone2
528,-83.3333335,130.7758621,zone8
529,-83.3333335,114.5689655,zone8
530,-83.3333335,98.36206897,zone8
531,-83.3333335,82.15517241,zone8
532,-83.3333335,65.94827586,zone8
533,-83.3333335,49.74137931,zone12
534,-83.3333335,33.53448276,zone12
535,-83.3333335,17.32758621,zone12
536,-83.3333335,1.120689655,zone12
537,-83.3333335,-15.0862069,zone12
538,-83.3333335,-31.29310345,zone12
539,-83.3333335,-47.5,zone12
540,-73.52941191,422.5,zone19
541,-73.52941191,406.2931034,zone19
542,-73.52941191,390.0862069,zone19
543,-73.52941191,373.8793103,zone19
544,-73.52941191,357.6724138,zone19
545,-73.52941191,341.4655172,zone19
546,-73.52941191,325.2586207,zone19
547,-73.52941191,309.0517241,zone18
548,-73.52941191,292.8448276,zone18
549,-73.52941191,276.637931,zone18
550,-73.52941191,260.4310345,zone17
551,-73.52941191,244.2241379,zone17
552,-73.52941191,228.0172414,zone17
553,-73.52941191,211.8103448,zone9
554,-73.52941191,195.6034483,zone9
